,index,Country,Country Status,Featured Report?,GOLD Community,Listed/Non-listed,Name,OS,Organization type,Region,Sector,Size,year
0,42434,Italy,OECD,No,No,Listed,Acea,,Private company,Europe,Energy Utilities,Large,"2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2001,1999"
1,36391,United States of America,OECD,No,No,Listed,Bristol-Myers Squibb Company,,Private company,Northern America,Healthcare Products,Large,"2016,2016,2014,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999"
2,29899,United Kingdom of Great Britain and Northern Ireland,OECD,No,,Non-listed,British Airways,No,Subsidiary,Europe,Aviation,Large,"2015,2014,2013,2000,1999"
3,44375,Sweden,OECD,No,No,Listed,Electrolux,,Private company,Europe,Consumer Durables,Large,"2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,1999"
4,22,Sweden,OECD,,,,ESAB,,,Europe,Construction Materials,Large,"2000,1999"
5,50196,United States of America,OECD,No,Yes,Listed,General Motors Company,,Private company,Northern America,Automotive,MNE,"2018,2017,2016,2015,2014,2013,2012,2011,2004,2003,2002,2001,2000,1999"
6,51019,Japan,OECD,No,No,Listed,Panasonic Corporation,,Private company,Asia,Consumer Durables,Large,"2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2003,2001,1999"
7,47087,United States of America,OECD,No,No,Listed,Procter & Gamble,,Private company,Northern America,Household and Personal Products,Large,"2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999"
8,1176,Netherlands,OECD,,,,Procter & Gamble Netherlands,,,Europe,Household and Personal Products,Large,"2005,2003,2002,2001,2000,1999"
9,51465,Canada,OECD,No,No,Listed,Suncor Energy,,Private company,Northern America,Energy,Large,"2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2005,2003,2001,1999"
10,17049,United States of America,OECD,,,Listed,Sunoco,,Private company,Northern America,Chemicals,Large,"2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999"
11,51486,Sweden,OECD,No,No,Listed,Svenska Cellulosa Aktiebolaget - SCA,,Private company,Europe,Forest and Paper Products,Large,"2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2001,2000,1999"
12,49046,United States of America,OECD,No,No,Listed,3M,,Private company,Northern America,Conglomerates,MNE,"2018,2017,2016,2015,2014,2013,2012,2011,2009,2008,2007,2000"
13,49098,France,OECD,No,No,Listed,Aeroports de Paris (ADP),,Private company,Europe,Aviation,Large,"2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2005,2002,2001,2000"
14,23721,Brazil,DAC-UMICT,,,Listed,Banrisul,,State-owned company,Latin America & the Caribbean,Financial Services,Large,"2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000"
15,43146,United States of America,OECD,No,Yes,Listed,Baxter International,,Private company,Northern America,Healthcare Products,MNE,"2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2002,2001,2000"
16,23815,United Kingdom of Great Britain and Northern Ireland,OECD,,,Non-listed,Biffa Waste Services,,Private company,Europe,Waste Management,Large,"2014,2000"
17,36524,United Kingdom of Great Britain and Northern Ireland,OECD,No,No,Listed,Carillion,,Private company,Europe,Construction,MNE,"2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2001,2000"
18,20,France,OECD,,,,COGEMA (Areva NC),,,Europe,Mining,Large,2000
19,50013,Japan,OECD,No,No,Listed,Epson (Seiko Epson),,Private company,Asia,Technology Hardware,MNE,"2018,2016,2015,2014,2013,2012,2011,2010,2009,2008,2005,2001,2000"
20,50017,South Africa,DAC-UMICT,No,No,Listed,Eskom,,Private company,Africa,Energy Utilities,Large,"2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2003,2002,2001,2000"
21,44715,United States of America,OECD,No,Yes,Listed,Ford Motor Company,,Private company,Northern America,Automotive,MNE,"2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000"
22,44777,Japan,OECD,No,No,Listed,Fuji Xerox,,Subsidiary,Asia,Other,MNE,"2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2002,2000"
23,44805,Japan,OECD,No,No,Listed,FUJIFILM Holdings Corporation,,Private company,Asia,Conglomerates,Large,"2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2002,2001,2000"
24,658,United States of America,OECD,,,,Genencor,,,Northern America,Other,Large,"2004,2003,2002,2001,2000"
25,50342,Hong Kong,Non-OECD / Non-DAC,No,No,Listed,Hang Seng Bank,,Private company,Asia,Financial Services,Large,"2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2007,2000"
26,45316,Japan,OECD,No,No,Listed,Hitachi High-Technologies Corp.,,Private company,Asia,Conglomerates,MNE,"2017,2016,2015,2014,2013,2012,2011,2010,2008,2007,2006,2000"
